"","V1","V2","V3","V4","V5","V6"
"319","soap","0.35","250","80","0.0600030943650762",NA
"320","wr","0.35","250","80","0.0486615027979716",NA
"321","tprs","0.35","250","81","0.136788305051982",NA
"322","mdsds","0.35","250","81","0.0452244659897924","4"
"323","soap","0.35","250","81","0.0533861652703389",NA
"324","wr","0.35","250","81","0.0544882738653001",NA
"325","tprs","0.35","250","82","0.083968185486717",NA
"326","mdsds","0.35","250","82","0.0501757300316229","4"
"327","soap","0.35","250","82","0.046950523316773",NA
"328","wr","0.35","250","82","0.0555626077713806",NA
"329","tprs","0.35","250","83","0.097681610191976",NA
"330","mdsds","0.35","250","83","0.0478094143823063","4"
"331","soap","0.35","250","83","0.0538738923830518",NA
"332","wr","0.35","250","83","0.0710695034954319",NA
"333","tprs","0.35","250","84","0.0813982224392606",NA
"334","mdsds","0.35","250","84","0.0447090777920747","3"
"335","soap","0.35","250","84","0.0467979884842478",NA
"336","wr","0.35","250","84","0.0428161059740634",NA
"337","tprs","0.35","250","85","0.105353523099479",NA
"338","mdsds","0.35","250","85","0.0541515606423852","3"
"339","soap","0.35","250","85","0.0632726115420905",NA
"340","wr","0.35","250","85","0.0532374271215667",NA
"341","tprs","0.35","250","86","0.0648063951527069",NA
"342","mdsds","0.35","250","86","0.0401075267091696","5"
"343","soap","0.35","250","86","0.042155231416928",NA
"344","wr","0.35","250","86","0.0420679909546898",NA
"345","tprs","0.35","250","87","0.0770377948017172",NA
"346","mdsds","0.35","250","87","0.0655240135190466","7"
"347","soap","0.35","250","87","0.0809185506759331",NA
"348","wr","0.35","250","87","0.0608918548474735",NA
"349","tprs","0.35","250","88","0.117073659806555",NA
"350","mdsds","0.35","250","88","0.0838479904717642","4"
"351","soap","0.35","250","88","0.0838594075711978",NA
"352","wr","0.35","250","88","0.0840170595861396",NA
"353","tprs","0.35","250","89","0.0889949977367479",NA
"354","mdsds","0.35","250","89","0.0504539230751391","11"
"355","soap","0.35","250","89","0.0509379230891693",NA
"356","wr","0.35","250","89","0.0572179539010347",NA
"357","tprs","0.35","250","90","0.0956848293570414",NA
"358","mdsds","0.35","250","90","0.0473169631926364","4"
"359","soap","0.35","250","90","0.0544991608569262",NA
"360","wr","0.35","250","90","0.0678201409421119",NA
"361","tprs","0.35","250","91","0.110344504678405",NA
"362","mdsds","0.35","250","91","0.0439516299079559","4"
"363","soap","0.35","250","91","0.0588841241384694",NA
"364","wr","0.35","250","91","0.0542757370613809",NA
"365","tprs","0.35","250","92","0.100937497591935",NA
"366","mdsds","0.35","250","92","0.0449821015231542","4"
"367","soap","0.35","250","92","0.0522124753804921",NA
"368","wr","0.35","250","92","0.0493211513439791",NA
"369","tprs","0.35","250","93","0.0761947752125407",NA
"370","mdsds","0.35","250","93","0.0492387795544249","4"
"371","soap","0.35","250","93","0.0469356747690594",NA
"372","wr","0.35","250","93","0.0519763965130624",NA
"373","tprs","0.35","250","94","0.0927251217943429",NA
"374","mdsds","0.35","250","94","0.0571396941940115","4"
"375","soap","0.35","250","94","0.0744791832839817",NA
"376","wr","0.35","250","94","0.0634194119083412",NA
"377","tprs","0.35","250","95","0.0802334213524939",NA
"378","mdsds","0.35","250","95","0.0468612413633752","3"
"379","soap","0.35","250","95","0.0537197888772175",NA
"380","wr","0.35","250","95","0.0478990090447175",NA
"381","tprs","0.35","250","96","0.093124992773643",NA
"382","mdsds","0.35","250","96","0.0465548654993668","4"
"383","soap","0.35","250","96","0.0547835470738977",NA
"384","wr","0.35","250","96","0.0651032344881165",NA
"385","tprs","0.35","250","97","0.069264276530456",NA
"386","mdsds","0.35","250","97","0.0550045529298715","3"
"387","soap","0.35","250","97","0.0560098377999151",NA
"388","wr","0.35","250","97","0.0556164085396774",NA
"389","tprs","0.35","250","98","0.21628372451827",NA
"390","mdsds","0.35","250","98","0.0698027353637058","4"
"391","soap","0.35","250","98","0.0692268218348329",NA
"392","wr","0.35","250","98","0.0691937811572544",NA
"393","tprs","0.35","250","99","0.101508411758703",NA
"394","mdsds","0.35","250","99","0.0606240165747218","8"
"395","soap","0.35","250","99","0.0567262857083712",NA
"396","wr","0.35","250","99","0.0559105994018838",NA
"397","tprs","0.35","250","100","0.077837027469471",NA
"398","mdsds","0.35","250","100","0.0546491664864914","3"
"399","soap","0.35","250","100","0.0481837461909889",NA
"400","wr","0.35","250","100","0.0707387821468772",NA
"401","tprs","0.35","250","101","0.0962762855377462",NA
"402","mdsds","0.35","250","101","0.0444038807056524","4"
"403","soap","0.35","250","101","0.0488010876192278",NA
"404","wr","0.35","250","101","0.0459456558796472",NA
"405","tprs","0.35","250","102","0.0839747797735068",NA
"406","mdsds","0.35","250","102","0.0622658955671603","4"
"407","soap","0.35","250","102","0.0738598817293761",NA
"408","wr","0.35","250","102","0.06932807236914",NA
"409","tprs","0.35","250","103","0.110522326851844",NA
"410","mdsds","0.35","250","103","0.067118569517527","4"
"411","soap","0.35","250","103","0.0806889530406592",NA
"412","wr","0.35","250","103","0.0739221454189729",NA
"413","tprs","0.35","250","104","0.0869255445025272",NA
"414","mdsds","0.35","250","104","0.0508671874919661","3"
